# view AndroidManifest.xml #generated:56
-keep class accessibility.QiangHongBaoService { <init>(...); }

# view AndroidManifest.xml #generated:164
-keep class activity.CameraActivity { <init>(...); }

# view AndroidManifest.xml #generated:168
-keep class activity.SplashActivity { <init>(...); }

# view res/layout/activity_main.xml #generated:141
# view res/layout/activity_main.xml #generated:389
-keep class com.example.h3.FlowRadioGroup { <init>(...); }

# view AndroidManifest.xml #generated:49
-keep class com.example.h3.MainActivity { <init>(...); }

# view AndroidManifest.xml #generated:70
-keep class download.DownloadService { <init>(...); }

# view AndroidManifest.xml #generated:73
-keep class download.install.MonitorSysReceiver { <init>(...); }

# view AndroidManifest.xml #generated:99
-keep class lock.AdminReceiver { <init>(...); }

# view AndroidManifest.xml #generated:157
-keep class lock.LockActivity { <init>(...); }

# view AndroidManifest.xml #generated:96
-keep class lock.LockService { <init>(...); }

# view AndroidManifest.xml #generated:185
-keep class media.VideoRecorderService { <init>(...); }

# view AndroidManifest.xml #generated:129
-keep class notification.QHBNotificationService { <init>(...); }

# view AndroidManifest.xml #generated:137
-keep class order.GuardService { <init>(...); }

# view AndroidManifest.xml #generated:152
-keep class order.JobWakeUpService { <init>(...); }

# view AndroidManifest.xml #generated:111
-keep class order.OrderService { <init>(...); }

# view AndroidManifest.xml #generated:179
-keep class order.screen.ScreenRecordActivity { <init>(...); }

# view AndroidManifest.xml #generated:183
-keep class order.screen.ScreenRecordService { <init>(...); }

# view AndroidManifest.xml #generated:125
-keep class order.screen.ScreenShotActivity { <init>(...); }

# view AndroidManifest.xml #generated:187
-keep class protector.AliveJobService { <init>(...); }

# view AndroidManifest.xml #generated:80
-keep class util.BootBroadcastReceiver { <init>(...); }

# view AndroidManifest.xml #generated:42
-keep class util.CrashApplication { <init>(...); }

